split,hourly_threshold_mm,product,rank,model,CSI,HSS,POD,FAR,frequency_bias,observed_events
development_2023_2025,1.5,strict_hourly,3,CMA_GRAPES_GLOBAL,0.0507,0.0678,0.1075,0.9126,1.23045,716
development_2023_2025,1.5,strict_hourly,4,GEM_GLOBAL,0.0483,0.0669,0.0894,0.905,0.94134,716
development_2023_2025,1.5,strict_hourly,5,ICON_SEAMLESS,0.0447,0.063,0.0754,0.9011,0.76257,716
development_2023_2025,1.5,strict_hourly,6,UKMO_GLOBAL_10KM,0.0391,0.0464,0.0824,0.9308,1.19134,716
development_2023_2025,1.5,strict_hourly,7,JMA_GSM,0.032,0.0482,0.0419,0.881,0.35196,716
development_2023_2025,1.5,strict_hourly,8,ECMWF_HRES,0.0078,0.0113,0.0084,0.8983,0.0824,716
development_2023_2025,5.0,cadence_aware_episode,1,UKMO_GLOBAL_10KM,0.0286,,0.0433,0.9226,0.55957,277
development_2023_2025,5.0,cadence_aware_episode,2,GEM_GLOBAL,0.017,,0.0181,0.7727,0.07942,277
development_2023_2025,5.0,cadence_aware_episode,3,METEOFRANCE_ARPEGE_WORLD,0.0071,,0.0072,0.75,0.02888,277
development_2023_2025,5.0,cadence_aware_episode,4,GFS_GLOBAL,0.0036,,0.0036,0.8,0.01825,274
development_2023_2025,5.0,cadence_aware_episode,5,CMA_GRAPES_GLOBAL,0.0,,0.0,1.0,0.03971,277
development_2023_2025,5.0,cadence_aware_episode,6,ECMWF_HRES,0.0,,0.0,,0.0,277
development_2023_2025,5.0,cadence_aware_episode,7,ICON_SEAMLESS,0.0,,0.0,1.0,0.00722,277
development_2023_2025,5.0,cadence_aware_episode,8,JMA_GSM,0.0,,0.0,,0.0,277
development_2023_2025,5.0,complete_3h_rate_equivalent,1,GEM_GLOBAL,0.0163,0.0272,0.0204,0.9259,0.27551,98
development_2023_2025,5.0,complete_3h_rate_equivalent,2,UKMO_GLOBAL_10KM,0.0088,0.014,0.0102,0.9412,0.17347,98
development_2023_2025,5.0,complete_3h_rate_equivalent,3,ECMWF_HRES,0.0,0.0,0.0,,0.0,98
development_2023_2025,5.0,complete_3h_rate_equivalent,4,ICON_SEAMLESS,0.0,0.0,0.0,,0.0,98
development_2023_2025,5.0,complete_3h_rate_equivalent,5,JMA_GSM,0.0,0.0,0.0,,0.0,98
development_2023_2025,5.0,complete_3h_rate_equivalent,6,METEOFRANCE_ARPEGE_WORLD,0.0,-0.0005,0.0,1.0,0.02041,98
development_2023_2025,5.0,complete_3h_rate_equivalent,7,GFS_GLOBAL,0.0,-0.0011,0.0,1.0,0.05155,97
development_2023_2025,5.0,complete_3h_rate_equivalent,8,CMA_GRAPES_GLOBAL,0.0,-0.0025,0.0,1.0,0.12245,98
development_2023_2025,5.0,complete_3h_same_numeric,1,METEOFRANCE_ARPEGE_WORLD,0.0669,0.0944,0.1149,0.8619,0.8323,322
development_2023_2025,5.0,complete_3h_same_numeric,2,GFS_GLOBAL,0.0556,0.0774,0.0883,0.8698,0.67823,317
