hourly_threshold_mm,product,model,development_rank,holdout_rank,rank_change_holdout_minus_development,development_CSI,holdout_CSI,development_FAR,holdout_FAR,development_top3,holdout_top3
1.0,strict_hourly,ICON_SEAMLESS,3,5,2,0.0752,0.0637,0.878,0.9276,True,False
1.0,strict_hourly,JMA_GSM,6,7,1,0.0476,0.053,0.8964,0.93,False,False
1.0,strict_hourly,METEOFRANCE_ARPEGE_WORLD,2,2,0,0.0762,0.0737,0.8951,0.9145,True,True
1.0,strict_hourly,UKMO_GLOBAL_10KM,7,4,-3,0.0471,0.0717,0.9235,0.9076,False,False
1.5,cadence_aware_episode,CMA_GRAPES_GLOBAL,2,6,4,0.071,0.0781,0.8051,0.878,True,False
1.5,cadence_aware_episode,ECMWF_HRES,8,3,-5,0.0042,0.1031,0.8824,0.8039,False,True
1.5,cadence_aware_episode,GEM_GLOBAL,5,1,-4,0.0607,0.1765,0.7727,0.6591,False,True
1.5,cadence_aware_episode,GFS_GLOBAL,1,4,3,0.0759,0.0987,0.8619,0.8649,True,False
1.5,cadence_aware_episode,ICON_SEAMLESS,6,8,2,0.047,0.0541,0.8863,0.92,False,False
1.5,cadence_aware_episode,JMA_GSM,7,7,0,0.0144,0.0597,0.8,0.7333,False,False
1.5,cadence_aware_episode,METEOFRANCE_ARPEGE_WORLD,3,5,2,0.068,0.0956,0.8552,0.8602,True,False
1.5,cadence_aware_episode,UKMO_GLOBAL_10KM,4,2,-2,0.0667,0.129,0.8852,0.8095,False,True
1.5,complete_3h_rate_equivalent,CMA_GRAPES_GLOBAL,4,7,3,0.0536,0.0548,0.8904,0.9344,False,False
1.5,complete_3h_rate_equivalent,ECMWF_HRES,8,2,-6,0.0056,0.093,0.8947,0.871,False,True
1.5,complete_3h_rate_equivalent,GEM_GLOBAL,3,1,-2,0.0565,0.1039,0.8661,0.8491,True,True
1.5,complete_3h_rate_equivalent,GFS_GLOBAL,2,3,1,0.0708,0.0889,0.8535,0.8788,True,True
1.5,complete_3h_rate_equivalent,ICON_SEAMLESS,6,5,-1,0.036,0.0745,0.871,0.8986,False,False
1.5,complete_3h_rate_equivalent,JMA_GSM,7,6,-1,0.0218,0.0678,0.8929,0.871,False,False
1.5,complete_3h_rate_equivalent,METEOFRANCE_ARPEGE_WORLD,1,4,3,0.0769,0.0761,0.8536,0.8955,True,False
1.5,complete_3h_rate_equivalent,UKMO_GLOBAL_10KM,5,8,3,0.0518,0.0494,0.8938,0.9245,False,False
1.5,complete_3h_same_numeric,CMA_GRAPES_GLOBAL,5,8,3,0.1067,0.0997,0.8415,0.8841,False,False
1.5,complete_3h_same_numeric,ECMWF_HRES,8,2,-6,0.0146,0.1667,0.85,0.803,False,True
1.5,complete_3h_same_numeric,GEM_GLOBAL,4,1,-3,0.1106,0.1667,0.8176,0.7857,False,True
1.5,complete_3h_same_numeric,GFS_GLOBAL,2,5,3,0.1339,0.1327,0.8247,0.8534,True,False
1.5,complete_3h_same_numeric,ICON_SEAMLESS,3,4,1,0.1284,0.1351,0.7978,0.8456,True,False
